id,node_id,position
5995352,33743610,14
5995352,33740185,15
5995352,33743443,16
5995352,33545006,17
5995450,34659523,0
5995450,33296882,1
5995508,33347820,0
5995508,33386449,1
5995508,33387642,2
5995508,33386451,3
5995508,33386454,4
5995508,33378429,5
5995508,33378426,6
5995508,33378412,7
5995508,33378428,8
5995508,2390777398,9
5995573,34546106,0
5995573,34546948,1
5995610,34525950,0
5995610,5046734162,1
5995610,34647598,2
5995610,34647435,3
5995610,5046734161,4
5995610,34647638,5
5995610,34648299,6
5995610,34647599,7
5995610,34646667,8
5995610,34647620,9
5995610,5046734160,10
5995610,5046734159,11
5995610,34642768,12
5995610,34635704,13
5995610,34635136,14
5995610,34638017,15
5995610,34635163,16
5995610,5046734158,17
5995610,34657782,18
5995610,34667326,19
5995610,5046734734,20
5995610,5046734200,21
5995610,5046734203,22
5995610,5046734201,23
5995610,5046734726,24
5995610,5046734191,25
5995610,5046734729,26
5995610,5046734785,27
5995610,5046734157,28
5995610,34644432,29
5995610,5046734154,30
5995610,3264574091,31
5995610,5046734155,32
5995610,5046734156,33
5995610,5046734153,34
5995610,5046734152,35
5995610,3264574089,36
5995610,3264574087,37
5995610,5046726913,38
5995610,5046734150,39
5995610,5046734151,40
5995610,3264574086,41
5995660,33330931,0
5995660,33330550,1
5995660,33330545,2
5995660,33330541,3
5995660,33330539,4
5995660,33330531,5
5995660,33330536,6
5995660,33330524,7
5995660,33330527,8
5995660,33330651,9
5995660,33330648,10
5995660,33330645,11
5995660,33330641,12
5995660,33330636,13
5995660,33424148,14
5995660,33423917,15
5995660,33423997,16
5995660,33424061,17
5995660,33424125,18
5995660,33424003,19
5995660,5012476067,20
5995660,34385854,21
5996165,34378690,0
5996165,1823601758,1
5996165,1823601757,2
5996165,1823601756,3
5996165,34509529,4
5996165,2485875776,5
5996165,2392345048,6
5996165,2485875784,7
5996165,34183321,8
5996229,1125901898,0
5996229,4886650937,1
5996229,1125901880,2
5996229,4886650946,3
